"","x"
"1",4
"2",4
"3",5
"4",4
"5",3
"6",15
"7",4
"8",2
"9",4
"10",0
"11",6
"12",1
"13",0
"14",1
"15",0
"16",2
"17",0
"18",16
"19",15
"20",13
"21",50
"22",2
"23",4
"24",9
"25",25
"26",3
"27",0
"28",9
"29",2
"30",8
"31",1
"32",11
"33",0
"34",27
"35",5
"36",0
"37",0
"38",3
"39",19
"40",0
"41",1
"42",7
"43",0
"44",18
"45",2
"46",5
"47",0
"48",3
"49",1
"50",4
"51",7
"52",0
"53",0
"54",5
"55",0
"56",0
"57",3
"58",0
"59",2
"60",0
"61",5
"62",0
"63",6
"64",1
"65",0
"66",0
"67",2
"68",1
"69",0
"70",3
"71",1
"72",5
"73",9
"74",8
"75",15
"76",7
"77",16
"78",0
"79",5
"80",10
"81",0
"82",0
"83",9
"84",26
"85",1
"86",5
"87",0
"88",24
"89",11
"90",5
"91",0
"92",13
"93",7
"94",7
"95",1
"96",6
"97",2
"98",0
"99",22
"100",3
"101",0
"102",0
"103",0
"104",20
"105",13
"106",2
"107",10
"108",4
"109",0
"110",0
"111",3
"112",70
"113",5
"114",5
"115",0
"116",3
"117",10
"118",9
"119",1
"120",0
"121",5
"122",2
"123",5
"124",4
"125",1
"126",16
"127",4
"128",10
"129",6
"130",5
"131",0
"132",0
"133",3
"134",6
"135",32
"136",5
"137",0
"138",17
"139",0
"140",5
"141",0
"142",10
"143",5
"144",0
"145",0
"146",6
"147",4
"148",10
"149",0
"150",9
"151",13
"152",28
"153",3
"154",10
"155",4
"156",2
"157",1
"158",7
"159",1
"160",6
"161",4
"162",1
"163",12
"164",18
"165",14
"166",2
"167",3
"168",0
"169",2
"170",0
"171",2
"172",0
"173",7
"174",6
"175",3
"176",4
"177",4
"178",14
"179",13
"180",12
"181",2
"182",2
"183",5
"184",5
"185",4
"186",0
"187",1
"188",3
"189",4
"190",11
"191",0
"192",5
"193",0
"194",0
"195",14
"196",7
"197",0
"198",4
"199",0
"200",35
"201",0
"202",3
"203",10
"204",0
"205",19
"206",5
"207",0
"208",0
"209",0
"210",1
"211",13
"212",0
"213",5
"214",6
"215",5
"216",19
"217",6
"218",21
"219",19
"220",5
"221",7
"222",0
"223",23
"224",11
"225",4
"226",0
"227",6
"228",5
"229",4
"230",4
"231",35
"232",2
"233",1
"234",11
"235",1
"236",4
"237",0
"238",9
"239",0
"240",11
"241",0
"242",6
"243",1
"244",27
"245",3
"246",3
"247",0
"248",9
"249",20
"250",7
"251",13
"252",0
"253",0
"254",14
"255",8
"256",5
"257",5
"258",1
"259",0
"260",24
"261",3
"262",10
"263",4
"264",2
"265",0
"266",4
"267",5
"268",1
"269",0
"270",52
"271",4
"272",22
"273",0
"274",0
"275",25
"276",16
"277",20
"278",0
"279",0
"280",1
"281",11
"282",3
"283",0
"284",25
"285",5
"286",2
"287",1
"288",3
"289",0
"290",0
"291",0
"292",0
"293",8
"294",0
"295",2
"296",4
"297",0
"298",2
